Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3Q4S3   ;WD repeat domain phosphoinositide-interacting protein 3 isoform X4;LOC106589481;Belongs to the WD repeat PROPPIN family;17181,3;16417,9;15480,8;16181,9;15672,1;14993,9;11569,6;15796,2;14639,4;13332,2;15902,2;13114,1;;;3633,5;;;11042,9;13628,3;17776,6;;11551,1;11985;13883,27778
A0A1S3Q4S4   ;Nucleoside diphosphate kinase;LOC106589447;Belongs to the NDK family;180389;74311,6;191377;59958,4;112671;147692;76684,1;61408,6;37875,3;120173;93962,8;54252,4;377641;383961;328827;512676;442124;187384;166185;226595;186624;190200;204513;221638,7769
A0A1S3Q4T4   ;SAP30-binding protein-like isoform X2;LOC106589477;;8413,09;;9038,27;9230,27;8539,65;;;;4718,77;3358,35;;5602,75;;;;;;;;;;;;6985,878571
A0A1S3Q4T6   ;Spermatogenesis-associated protein 20;spata20;;62250,3;75201,4;61122,9;60679,9;52563;63621,9;70844,2;64358,1;65416;81627,6;68237;64255;;;;;;63274,2;54649,1;57394,8;52122,3;54667,6;63401,9;63093,73333
A0A1S3Q4V6   ;Myosin-16-like isoform X3;LOC106589493;;46194,9;26667,8;29980,1;13321,5;20042,2;16733,7;;18030,8;20873,4;;14318,6;8043,01;7697,8;11372,9;17461,7;11987,9;10884,2;50568;45724,8;44968;46654,1;52680,2;26798,3;25339,80955
A0A1S3Q4V7   ;beta-N-acetylhexosaminidase;hexdc;Belongs to the glycosyl hydrolase 20 family;51667,5;56212,3;56726,3;76195,5;60032,8;50416,5;54704,2;61221,4;69859;58259,8;62877,6;71112,8;;;;;;38267,7;50844,8;44962,1;73047,1;57058;41224,3;57482,76111
A0A1S3Q4W7   ;Protein outspread-like isoform X1;LOC106589502;;;;21177,1;14498,7;7840,8;;14442,1;10704,1;;;;9716,13;;;;;;11868,7;10526,8;11758,1;;12249,1;;12478,163
A0A1S3Q4X3   ;NADPH:adrenodoxin oxidoreductase, mitochondrial;fdxr;Belongs to the ferredoxin--NADP reductase type 1 family;60899,8;49355,9;49068,4;48471,2;58786,8;49345,3;49840,7;46575,7;48824,2;41790,6;45173,6;40078,1;;;;;;17375,3;19695,6;13184,9;25026,5;15860,3;24732,6;39115,86111
A0A1S3Q4Z4   ;Uncharacterized protein LOC106589505 isoform X1;LOC106589505;;42274,8;36181,3;39950,3;74100,4;95776,4;67375,5;76267,3;74396,7;83341,9;71850,6;90726,9;59845,7;8213,77;8337,09;10750;4718,81;12179,2;56659;50145,4;78926,9;27028,7;64274,4;47780;46439,15462
A0A1S3Q502   ;Zinc finger protein 14-like;LOC106589515;;14398,1;12614,8;12747,5;12079,4;12798,7;14579,1;12926,9;9736,6;12354,2;11358,9;17411,4;12822,2;;;;;2083,96;9582,61;11877,8;8653,47;9208,03;11937,4;12797,5;11157,4925
A0A1S3Q512   ;Eukaryotic elongation factor 2 kinase;LOC106589523;Belongs to the protein kinase superfamily. Alpha-type protein kinase family;21275,5;25414,1;20539,2;25135,2;31712,4;21700,7;39896,9;35762,9;33490,9;28681;37030;48495,1;;;;;17087,1;17958,2;23797,3;19111,4;26553,2;20634,7;27986,1;27487,46842
A0A1S3Q515   ;C-Jun-amino-terminal kinase-interacting protein 4-like isoform X2;LOC106589513;Belongs to the JIP scaffold family;36884,3;37345,7;41047,5;36025,8;30859,8;30206,7;32824,8;34141,5;30235;37147;34591,6;35293,8;34518,5;37401;33801,9;50227,6;50981,8;46110,9;47224;41962;57636,9;43982,4;46903,9;39674,13462
A0A1S3Q538   ;Aconitate hydratase, mitochondrial;LOC106589533;Belongs to the aconitase/IPM isomerase family;156630;274398;225878;171503;191020;175604;285126;300315;276315;79794,9;158730;338492;;;;;;77173,7;61231;50567,7;50155,5;41849,9;52655,5;164857,7333
A0A1S3Q569   ;Mitochondrial import receptor subunit TOM22 homolog;LOC106589546;Belongs to the Tom22 family;17415,2;11337;13155,1;14221;7563,49;8102,71;4786,22;12237,1;7606,6;2944,73;5434,81;5471,99;;1941,74;;;;12276;7677,24;11540,5;;8870,38;9910,9;9027,372778
A0A1S3Q580   ;DNA-directed RNA polymerase III subunit RPC5-like;LOC106589521;;17883,2;24333,5;17948,6;24918,6;13236,9;22976;24128,5;16585,3;20731,6;;19815,7;22536;;;;;;13617,6;17001,5;;15337,8;25442,5;19541,8;19752,19375
A0A1S3Q593   ;Rho GTPase-activating protein 17 isoform X3;arhgap17;;26441,8;18253,9;26364,5;17037,9;22272,2;22488,1;27041,3;25016,5;21280,8;32562,6;29064,2;27459,7;6256,17;7090,59;;;8165,79;24756,2;19425,6;27614,1;26623,6;22016,4;22633,8;21898,36905
A0A1S3Q595   ;DNA repair endonuclease XPF;ercc4;Belongs to the XPF family;6022,12;2828,96;;5112,29;;6673,14;7098,91;8943,6;8101,45;;5405,15;7678,21;;;;;;2408,92;;;;3875,97;;5831,701818
A0A1S3Q5C1   ;Target of rapamycin complex subunit lst8;mlst8;Belongs to the WD repeat LST8 family;21403,8;23248,8;22588,3;23112,2;22244,2;21272,9;31874,8;23627,1;25688,5;23433,6;26349;28060,8;;3949,71;5364,41;4211,29;9743,42;20490,5;22549,6;28290,3;20172,7;22273,9;22617,7;19414,59583
A0A1S3Q5C2   ;Transformation/transcription domain-associated protein isoform X4;trrap;Belongs to the PI3/PI4-kinase family. TRA1 subfamily;28871,6;34684,3;32465,7;36940,1;29688,8;33031,6;49376,9;47296,3;51963,9;45506,7;49383,4;51388,6;;;;;;39351,4;43157,5;48478;29371,8;39089,9;50015,6;41114,56111
A0A1S3Q5C7   ;Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 isoform X1;LOC106589578;;47357;25063,7;46227,1;22862,9;34629,1;53087,4;38722;33095,8;36524,9;60009,1;39357,3;29147,6;17814,4;13955,3;6637,19;23304,8;23294;64467,2;76259,2;86581,1;106698;75904,1;81643,3;41886,03654
A0A1S3Q5F3   ;Vacuolar fusion protein CCZ1 homolog isoform X2;ccz1;Belongs to the CCZ1 family;68792,8;82514,4;62331;74107,6;79367,4;75541,9;77143,2;71788,5;88244,9;77755,2;84764,7;83202,3;71052,5;67524,2;68569,8;51273,2;73546,8;77192,6;84017,2;60985,2;47091,4;61584,6;70310,1;70453,35
A0A1S3Q5G0   ;Sodium-coupled neutral amino acid transporter 10 isoform X4;slc38a10;Belongs to the amino acid/polyamine transporter 2 family;42674,9;45358,1;42583,7;47242,4;46795,3;33168,9;31734,6;25217,9;21887,6;28092,4;28126,4;27239,6;13275,9;16576,1;17464,1;21849,6;32181,2;25967,1;22745,4;26662,4;21307,6;25200,4;20291,9;28413,16923
A0A1S3Q5H9   ;Interleukin enhancer-binding factor 3 homolog;LOC106589563;;18246,6;20434,5;19334,8;24103,3;30803,2;26855,6;29315,7;28043,4;26246,7;16602,3;22420;26494,5;6036,55;;;;7817;24542,5;18747,6;23527,8;14135;23610,9;19557,9;21343,7925
A0A1S3Q5I0   ;TOM1-like protein 2 isoform X1;LOC106589570;Belongs to the TOM1 family;34431,4;42072,4;36330,3;43078,8;15254,4;32610,5;12712;32274,6;;28375,6;;;22619,9;19890;;;28550,1;;;;31866,4;23378,6;;27961,40625
A0A1S3Q5I7   ;Leucine-rich repeat-containing protein 45 isoform X1;lrrc45;;10639,8;12360,6;12449,2;9528,18;7132,97;8000,25;6403,55;8111,74;9487,67;;;7681,67;8222,72;13391,5;11544,8;;15394,4;;;;;;;10234,86333
A0A1S3Q5J5   ;COP9 signalosome complex subunit 1 isoform X2;gps1;Belongs to the CSN1 family;991036;1037750;936668;1123520;981697;1131100;1212520;1329060;1214540;1167810;1002750;1162270;388257;409862;540602;254420;404686;953171;1157960;1050210;721166;1002710;1266010;866283,9231
A0A1S3Q5K0   ;Tectonin beta-propeller repeat-containing protein 1-like;LOC106589579;Belongs to the TECPR1 family;13645,9;7838,9;9295,66;12937,1;11160,8;8387,19;10515,4;10799,8;8092,63;;5848,22;9065,87;;;;;;9552,19;8593,01;7991,15;;10442,5;8341,81;9531,758125
A0A1S3Q5M2   ;Golgi to ER traffic protein 4 homolog;LOC106589355;Belongs to the GET4 family;35476,6;34155;41223,8;42691,2;44824,2;40767,1;26532,6;29807,9;31459,7;41264,8;33615,4;30622,5;34038,6;33949,1;35294,8;35591,4;36733,6;41876,7;43062;37062,3;23554,8;35300;46861,1;36037,48077
A0A1S3Q5N0   ;non-specific serine/threonine protein kinase;csnk1d;Belongs to the protein kinase superfamily;124931;118266;125383;86761,9;136631;122571;139432;117452;118669;155484;150659;142505;215725;221801;224665;125992;167949;128118;142665;131885;126407;136253;143348;147177,5731
A0A1S3Q5U1   ;Helicase-like transcription factor;hltf;;10679,6;5690,98;9780,16;;14270,2;15101,3;11019,8;14102,5;14095,9;21279,8;20313,7;12009,8;;;;;;17061,4;16309,9;15686,9;12583,4;21590,6;18541,6;14712,79647
A0A1S3Q5U3   ;Fatty acid synthase;LOC106589612;;46245,2;59199,1;53287;37820;42840,2;36471,1;66040,4;59647,8;61355,5;62258,1;62583,5;59427,1;;;;;;56819,4;50385,5;61900,6;27410,4;44821,5;64559,2;52948,42222
A0A1S3Q5Y7   ;Cytochrome c oxidase assembly factor 3;LOC106589644;Belongs to the COA3 family;22863,5;23703,3;21822;30816;37592,9;19901,2;18073,2;21514,8;19404,1;20609;25454,1;17195;6719,68;9043,2;11559,9;;;9872,9;;9903,86;15265,4;13579,5;;18003,58238
A0A1S3Q617   ;Unhealthy ribosome biogenesis protein 2 homolog;urb2;;30281,2;27968,4;36891,2;30050;38745,4;37019,1;51713,6;40621,5;37863,2;42034,9;50373,1;48961,4;;;;;;30615,8;32387,5;31349;22204,6;26248,9;32239,7;35976,02778
A0A1S3Q618   ;Adenylosuccinate synthetase;LOC106589688;Belongs to the adenylosuccinate synthetase family;115126;88023,2;100264;58777,6;88849,1;102414;91209,8;69939,2;92227,5;94407,6;87348,4;85006,5;14811,5;21672,7;15351,3;22061,4;18196,5;120461;115396;111393;104860;102132;105478;72488,99231
A0A1S3Q639   ;Uncharacterized protein LOC106589669 isoform X2;LOC106589669;;;22158,2;;;;;19841;33911,2;23929,4;69123,9;21093,7;34089;10927,7;;;;;;20160,4;20478,2;;;12810,5;26229,38182
A0A1S3Q642   ;Ras-related protein Rab-4;LOC106589656;Belongs to the small GTPase superfamily. Rab family;44487,2;36763;47957,1;28793,4;47722,6;48404;38124;39336,6;32581;48984,1;37747,5;32778;31035,9;28811,6;37343,6;35779;28550,5;41469,8;52541,4;45554,6;56878,9;49372,9;50056,8;39954,55769
A0A1S3Q647   ;Leucine-rich PPR motif-containing protein, mitochondrial;lrpprc;;84117,4;100534;116027;60398,2;119392;98915,3;118286;86186;100819;55369,6;82529;84181,6;10569,5;13131,4;15365;24814,8;12148,9;23365,7;21210,3;29316,3;30815,6;23479,1;28505,9;53491,13846
A0A1S3Q660   ;Protein kinase C;prkce;Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily;11014,3;15020,2;9347,94;17863;19047,3;15860;15467,1;18811,3;17373,6;17057,1;16581,4;21478,8;;;;;;10548,4;15536,2;10804,8;;12637,8;12774,8;15130,82588
A0A1S3Q666   ;S1 RNA-binding domain-containing protein 1 isoform X2;srbd1;;34448,8;40456,5;34577,3;40139,7;;33070,3;35705,2;38099,9;27845,3;48617,4;35797;36491,8;;;;;;42248,1;43996,4;45237;53203,8;46709,5;31863,8;39091,48333
A0A1S3Q680   ;Golgin subfamily A member 4 isoform X4;golga4;;102688;86798,6;104281;94041,8;86405,3;103604;95323,4;85382,4;81657,9;91216;79647,8;75288,1;74710,6;71612,8;76070,8;94667,1;98037,3;86939,6;92119,8;93297;118346;105209;106352;91146,53462
A0A1S3Q684   ;Guanine nucleotide-binding protein subunit alpha-13-like;LOC106589443;Belongs to the G-alpha family. G(12) subfamily;40182,4;48295,4;38206,3;30873,8;44074,1;40978,3;58756,6;67442,1;57179,1;51086,5;54295,2;62359,1;;;;;;32918,9;34381,1;34092,4;20413,2;30743;32620,7;43272,12222
A0A1S3Q685   ;F-box only protein 11 isoform X1;fbxo11;;5292,15;7638,12;5432,96;7681;3909,22;3675,01;6107,58;4901,6;7721,72;;2962,11;4114,63;;;;;;2600,51;3155,92;5430,62;;3776,31;;4826,181875
A0A1S3Q687   ;P53 apoptosis effector related to PMP-22;perp;Belongs to the TMEM47 family;32147,6;40655,4;28207,3;43033,1;47877,2;47936,7;50891;59106,5;45050;82766;56932,3;45314,3;20281,9;16561,5;20654,7;13934,3;22190,6;37765;43576,7;75663,6;24105,1;39632,1;49053,4;38126,21923
A0A1S3Q6C6   ;Thrombospondin-2 isoform X2;thbs2;Belongs to the thrombospondin family;17823,1;10823;9791,75;;;5635,55;;;;8495,46;5925,44;;7977,11;;11332,1;14238,6;10133,3;15798,7;15502,4;17258,6;15223,5;20002,1;;11813,83389
A0A1S3Q6C7   ;DNA mismatch repair protein;msh6;Belongs to the DNA mismatch repair MutS family;29354,5;30945,6;28872,1;28286,8;26056,9;27247,7;40283;35175,1;41949,9;34347;35991,9;37514,3;38733,7;36824,8;24536,8;26940;35862,6;34036,8;32961,3;33750;39029,3;33670,9;37441,8;33296
A0A1S3Q6F2   ;Phosphatidylinositol 4-kinase type 2;LOC106589758;Belongs to the PI3/PI4-kinase family. Type II PI4K subfamily;4802,39;6928,16;5477,11;6668,66;5930,69;4998,72;5571,44;7015,42;5739,42;;12764,6;5287,08;9906,57;13298;11002,8;19030,3;14593;11039,3;7808,39;10303,2;;9730,24;12563,9;10140,92708
A0A1S3Q6G0   ;Gamma-adducin-like;LOC106589748;Belongs to the aldolase class II family. Adducin subfamily;74112,6;62659,1;77296,9;63430,6;74246,7;69352,1;72721,7;79922,9;63421;81415,1;74562,5;80593,4;66289;69937,5;77347,6;64386,7;76279,1;75523,9;76567,3;73458,2;71885;67912;69290,2;72018,27308
A0A1S3Q6G4   ;Aspartate aminotransferase;LOC106589763;Belongs to the class-I pyridoxal-phosphate-dependent aminotransferase family;12132,4;10128,4;8896,93;11904,7;13900,8;11193,7;7551,12;3823,82;5510,96;9310,7;5300,99;5601,51;3133,14;;;5493,04;5666,99;13614,6;12489,9;16874,2;15140,1;10719,6;7213,7;9314,347619
A0A1S3Q6H1   ;Mitogen-activated protein kinase kinase kinase 4-like isoform X1;LOC106589750;Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily;;7942,69;;4344,35;2840,81;4355,48;3388,15;5223,95;5045,7;;;7498,64;;;;;;3103,42;5506,11;5620,14;;;4568,82;4953,188333
A0A1S3Q6H4   ;Slit homolog 1 protein-like isoform X1;LOC106589770;;5529,46;4912,45;3666,78;3162,92;;;;2724,58;;;;4480,22;;;;;;2558,08;;;;3113,45;2354,33;3611,363333
A0A1S3Q6H5   ;Protein phosphatase 1 regulatory subunit 21;ppp1r21;;21601,1;25040,1;28378,9;17602,6;25061,8;24957,3;20334,3;22882,5;24674,2;19728,2;30943,2;21534,5;8650,55;;12932,4;9303,81;12096,5;16899,9;22474,9;25223,7;25458;25425,2;25554,2;20113,5356
A0A1S3Q6I5   ;Exportin-5-like;LOC106589781;Belongs to the exportin family;58316,5;69652,2;93677,7;57031,4;88631,3;99036,5;148884;96769;87112,4;152645;118632;134065;;;;;;82886,4;81031,7;91477,2;40843,6;105520;112292;95472,43889
A0A1S3Q6J2   ;Zinc finger protein 451 isoform X2;znf451;;8347,49;11271,5;7315,7;12948,9;8020,16;6939,36;8708,33;7968,86;12572,8;;8905,01;9279,58;;;;;;;9122,69;;;;;9283,365
A0A1S3Q6J9   ;Proteasome activator complex subunit 4B-like isoform X2;LOC106589746;Belongs to the BLM10 family;26747;22198,5;;20298,6;;22949,7;22402,2;17900,8;23689,7;;;18159,6;;;;;;;;;;;10418,1;20529,35556
A0A1S3Q6K6   ;Dystonin-like;LOC106589788;;67982,9;66751,3;66645;72049,2;70841;68676,8;63440;56959,3;63389,6;67144;72454,6;66482,4;54772,4;57312,2;66177,3;42621,4;38650,4;71253,8;66644;59736,6;66551,5;64131,9;64112,2;61507,83077
A0A1S3Q6L9   ;ZP domain-containing protein-like;LOC106589754;;16274,4;10455,7;13704,6;16890,7;10920,8;14455,7;11602,6;5848,47;9730,19;;;4508,85;11301;;13974,8;17024,3;14814,4;;;11128,5;;;;13182,77833
A0A1S3Q6M0   ;Nuclear factor 7, brain-like;LOC106589782;;49524,2;40520,4;16746,2;;48579,1;79646,9;65908,7;87354,7;81259;76826,6;65070,8;61493,3;107868;119819;90576,8;178244;88838,5;116044;97905,5;123649;164918;125080;99966,6;92367,212
A0A1S3Q6N5   ;Glutamate--cysteine ligase;gsh1;Belongs to the glutamate--cysteine ligase type 3 family;180766;194341;188578;153335;143944;164360;179626;161554;190051;169062;159705;152824;14723,9;14750,2;12069,3;12577,7;14954,6;244621;246456;238151;189358;173665;190980;136792,464
A0A1S3Q6P2   ;Uncharacterized protein C10orf12-like;LOC106589767;;;2816,75;4306,85;3486,03;4959,91;2325,43;;3952,04;;;;3611,29;;;;;;5294,33;;3210,25;;;2202,77;3616,565
A0A1S3Q6P8   ;Zinc finger protein 420-like;LOC106589519;;5645,29;5032,68;;6093,62;5236,98;;;3405,12;5776,12;;4060,09;4621,77;;;;;;;5409,54;;;;3614,26;4889,547
A0A1S3Q6S4   ;Ribonuclease T2-like isoform X2;LOC106589819;Belongs to the RNase T2 family;81374,9;47099,2;41587,3;74880,6;61886,4;60402,3;48390;28938,9;50157,1;35824,2;28898,5;52534,8;61886,1;63391,9;49672,8;113871;101888;31623,1;37194,9;28406,7;56249,1;30030,4;26205;58845,99231
A0A1S3Q6S5   ;RNA helicase;LOC100194728;Belongs to the DEAD box helicase family. DDX21/DDX50 subfamily;34096,3;30274,7;39642,3;26701,8;27846,1;25833,5;36164,2;19130,3;25212,7;24191,4;19719,6;25104,7;7673,15;5984,63;10770,2;;;26182;22376,8;19818;22226,2;17898,2;24194,1;22648,87
A0A1S3Q6S9   ;hexokinase;LOC106589825;Belongs to the hexokinase family;192153;178120;210255;165157;218053;207543;199180;186812;197560;238935;213856;201604;14136,3;;43282,1;;;225906;217658;228477;167234;208570;241052;165796,9826
A0A1S3Q6T6   ;KIF-binding protein;kif1bp;Belongs to the KIF-binding protein family;60063,7;41539,2;58362,3;49565,6;65377,3;58225,1;52798,7;43101;47638,7;48855,3;56994,4;53004,8;;;;;;47115,6;39343,3;45808,5;40805,1;44915;43440,1;49830,76111
A0A1S3Q6U3   ;SH3 domain-binding protein 1-like;LOC106589540;;15565;10146,9;15467,5;17423,8;17955;17846,3;16118,6;15483,5;14624,1;;14289,9;16261,4;4960,79;;;;8410,55;21343,7;17682,2;19655;21185,6;19301,4;22149,2;15752,145
A0A1S3Q6U8   ;Plectin-like;LOC106589832;Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. AIG1/Toc34/Toc159-like paraseptin GTPase family. IAN subfamily;58452,3;38776,8;45995,4;56050;67935,6;78161,8;68942,3;66122,9;61835,2;81721,7;60151,8;60384,6;33457,1;37641,7;26909,5;39322,1;34888,4;65528;56021,7;83729,6;54677,2;51571,2;62347,1;53427,21923
A0A1S3Q6V4   ;Inhibitor of apoptosis protein-like isoform X3;LOC106589838;;162897;136442;146274;178292;214956;201360;127366;126967;151786;159462;140464;125445;157298;142988;110433;336529;296515;142762;159820;165282;167006;145593;144074;173893,0692
A0A1S3Q6W0   ;Leucine-rich repeat-containing protein 1-like;LOC106589808;;113903;106861;75486,2;119685;88898,1;98104,8;120036;142478;135579;108288;120293;126502;;;6791,82;;7790,09;88054;78699,5;79732,6;111592;104852;78424,4;83807,26826
A0A1S3Q6W9   ;Leucine-rich repeat-containing protein 59-like;LOC106589848;;208512;163324;161402;155691;159633;102494;93162,2;74672,1;69418,3;116613;149428;113359;76793,8;88277,4;81624,8;96635,3;101338;70965,5;78530,3;45751,8;100423;86088;92089,3;106094,7846
A0A1S3Q6X0   ;UBA-like domain-containing protein 1;LOC106589553;Belongs to the UBALD family;15809,7;4587,13;12242,3;3534,37;17552,8;18310,6;13363,7;14965,7;4609,47;11876,7;10496,4;11473,6;18563,1;18120,3;15765,1;8172,9;9596,34;14569,1;15734,8;16378,2;13834,8;20213,9;16845;12974,27769
A0A1S3Q6X3   ;Serine protease HTRA2, mitochondrial-like isoform X1;LOC106589831;Belongs to the peptidase S1C family;5624,44;14335,5;7161,27;16657,8;4745,75;9364,37;9674,65;14299,5;7678,78;7116,37;8956,43;12044,9;4733,74;4792;5334,3;;2854,87;4502,55;3813,08;4573,21;;;4348,04;7510,511429
A0A1S3Q6Z1   ;ADP-ribosylation factor-like protein 3;LOC106589841;Belongs to the small GTPase superfamily. Arf family;224263;102918;161881;135498;228214;183276;187839;155864;167776;300023;272109;185980;;;;;3903,32;196680;161695;164623;269173;164400;148171;170938,537
A0A1S3Q706   ;Palmdelphin;LOC106589870;Belongs to the paralemmin family;56255,1;47336,5;48905,8;45499,1;58304,6;52346,9;29740,3;32807;30787,7;22714,5;34664,5;30811,9;5885,66;9126,21;17478,7;9804,03;21222,2;36187,1;40288,3;33052,2;38432,8;34590,5;38481;31516,64615
A0A1S3Q716   ;Protein HID1 isoform X2;hid1;;;;;4357,35;13796,8;13271,3;5744,07;;;11610,5;6978,63;6001,71;;;;;;10906,9;7894,25;13332,3;;;;9389,381
A0A1S3Q719   ;Vinculin;LOC106589883;Belongs to the vinculin/alpha-catenin family;770523;584233;766666;653966;908818;881176;667332;690866;629154;850190;908175;752883;1229400;1217050;1245300;1006850;958502;931730;914156;845068;854853;922375;887038;893289,3462
A0A1S3Q732   ;Nuclear protein localization protein 4 homolog isoform X1;LOC106589896;Belongs to the NPL4 family;114626;83042,7;106866;89422,9;133556;131959;120057;107376;89024,3;124680;134778;120375;71483,4;62535,4;69882,2;81238,1;86731,6;109380;116443;122400;100858;127590;118688;102484,2038
A0A1S3Q748   ;alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase;LOC106589847;Belongs to the glycosyltransferase 29 family;15469,1;;;72703,2;77582,3;42980,1;24253,5;28345,6;29014,8;46049,3;;29930,4;;;;22600,6;23233,4;24787,1;27273,5;;;17060,1;23029,8;33045,03529
A0A1S3Q790   ;poly(ADP-ribose) glycohydrolase;LOC106589925;Belongs to the poly(ADP-ribose) glycohydrolase family;162331;147336;147508;154533;175610;167026;167153;147273;156342;162150;159709;160389;141537;107445;158014;141964;218378;144008;143130;146712;142888;153608;169141;160344,0385
A0A1S3Q7A4   ;Tripartite motif-containing protein 16-like;LOC106589889;;43684;46807;49412,5;32651;30438,8;38133;46030,2;38702,9;43637,3;41042,5;38625,2;36933,7;12906,2;10680,1;22926,5;13318,7;11779,1;38180,1;42364,6;38462,9;27925,7;39571,8;38211,3;32347,13462
A0A1S3Q7A6   ;Annexin;LOC106589908;Belongs to the annexin family;130664;131655;115766;120237;98393,8;119762;85567,1;106644;110888;150540;102193;98513,9;210521;209586;209615;120194;89592,3;144475;116414;253155;147232;182752;196285;141622,8885
A0A1S3Q7B0   ;Kinesin-like protein KIF20B isoform X2;LOC106589940;Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family;29146,2;27975,3;35788,8;21336,9;24892,1;35778,2;63042,9;46207,7;48983,2;71526,1;34591,3;43919;67684;80822,6;59700,4;61458,6;46079,3;60545,7;73648,8;49474,2;50537,3;56796,8;60603;50271,28077
A0A1S3Q7C9   ;Charged multivesicular body protein 6-like;LOC106589902;Belongs to the SNF7 family;27188,7;27194,4;32891,5;23626,3;19296,2;21243,7;14432,5;17247,2;9530,51;16460,7;17001;18009,8;40411,8;42590,4;42831,9;33545,8;44326,2;30653,5;28044,1;34098;12941,6;31750,7;;28758,1844
A0A1S3Q7D2   ;Nucleolar and coiled-body phosphoprotein 1-like isoform X1;LOC106589953;;15613,6;13021,3;11888,7;12314,1;30078,4;22674,3;13577,7;21129,8;14610;22762;19794,7;18116;12233,2;10994,1;30534,5;19216,3;11832,1;13754,6;18169,4;17284;13524,5;15365,1;11822,6;17076,51923
A0A1S3Q7E1   ;CDGSH iron-sulfur domain-containing protein 1-like isoform X1;LOC106589936;;32718,2;24470,4;30800,3;30909,7;34186,3;37607,7;14712,8;23344,8;16684;24045,6;;18193,6;;;31065;;;;27440,2;26632,4;;32919,3;28148;26669,93529
A0A1S3Q7E3   ;Collagen alpha-1(I) chain-like;LOC106589632;;390804;339345;492931;103506;48256,8;66917,7;146249;255682;148097;228401;302249;255459;68852,5;64965,8;99113,2;412500;622982;271292;250580;305925;488362;347846;337622;277796,8077
A0A1S3Q7E5   ;Nuclear factor 1;LOC106589946;Belongs to the CTF/NF-I family;65835,8;59016;74855,3;46983;62230,8;102423;81749,2;90562,6;77069,7;83142,2;78682,1;67915,2;12933,4;8407,44;12157,3;;;81514,3;87231,3;80112;61356;78591,8;85669,9;60034,31
A0A1S3Q7G0   ;Ribosome-binding protein 1-like isoform X2;LOC106589909;;173560;134135;175547;82663,4;106460;90527,7;51117,7;62950,7;46080;57502,9;55693,6;54841,7;36008,1;31278,8;37924,3;84843,8;65618,6;75876,5;79912,1;72185,4;115109;79606,4;64007;77507,26923
A0A1S3Q7I1   ;Calpain-1 catalytic subunit-like;LOC106589958;Belongs to the peptidase C2 family;8409,33;4548,75;11631,8;;3815,96;;7038,62;8392,14;5306,9;8430,29;5804,36;5068,9;14232,7;12494,7;15044,7;8531,94;9496,15;9964,75;11563,5;10295,3;10724,5;11755,9;10490,1;9452,757917
A0A1S3Q7I2   ;Calpain-2 catalytic subunit;LOC106589985;Belongs to the peptidase C2 family;329277;345477;261422;319733;289305;256265;239689;231380;315837;162457;248312;225673;360037;370137;325795;170188;279066;248736;338281;258119;156265;253621;268076;271314,2692
A0A1S3Q7I8   ;PHD finger protein 10;LOC106589650;Belongs to the SAYP family;64376,3;74298,9;;;31609,2;43122,6;33872,1;;55373,6;;;;40265;37434,4;39050,2;;;41530,2;47067,8;52745,6;;45804,5;62977,1;46634,90588
A0A1S3Q7I9   ;Peptidyl-prolyl cis-trans isomerase;LOC106589992;Belongs to the cyclophilin-type PPIase family;100858;86982,7;68977,9;107252;98882,7;101121;108963;142513;127756;74397,1;101822;109178;;;;;;81574,3;78981,8;65438,6;96929,8;76522,4;96722;95826,23889
